CODE,NAME
C0529,덕천제3동
C0530,만덕제1동
C0531,만덕제2동
C0532,만덕제3동
C0533,우제1동
C0534,우제2동
C0535,우제3동
C0536,중제1동
C0537,중제2동
C0538,좌제1동
C0539,좌제2동
C0540,좌제3동
C0541,좌제4동
C0542,송정동
C0543,반여제1동
C0544,반여제2동
C0545,반여제3동
C0546,반여제4동
C0547,반송제1동
C0548,반송제2동
C0549,재송제1동
C0550,재송제2동
C0551,괴정제1동
C0552,괴정제2동
C0553,괴정제3동
C0554,괴정제4동
C0555,당리동
C0556,하단제1동
C0557,하단제2동
C0558,신평제1동
C0559,신평제2동
C0560,장림제1동
C0561,장림제2동
C0562,다대제1동
C0563,다대제2동
C0564,구평동
C0565,감천제1동
C0566,감천제2동
C0567,서제1동
C0568,서제2동
C0569,서제3동
C0570,금사동
C0571,부곡제1동
C0572,부곡제2동
C0573,부곡제3동
C0574,부곡제4동
C0575,장전제1동
C0576,장전제2동
C0577,장전제3동
C0578,선두구동
C0579,청룡노포동
C0580,남산동
C0581,구서제1동
C0582,구서제2동
C0583,금성동
C0584,대저1동
C0585,대저2동
C0586,강동동
C0587,명지동
C0588,가락동
C0589,녹산동
C0590,가덕도동
C0591,거제제1동
C0592,거제제2동
C0593,거제제3동
C0594,거제제4동
C0595,연산제1동
C0596,연산제2동
C0597,연산제3동
C0598,연산제4동
C0599,연산제5동
C0600,연산제6동
C0601,연산제8동
C0602,연산제9동
C0603,남천제1동
C0604,남천제2동
C0605,수영동
C0606,망미제1동
C0607,망미제2동
C0608,광안제1동
C0609,광안제2동
C0610,광안제3동
C0611,광안제4동
C0612,민락동
C0613,삼락동
C0614,모라제1동
C0615,모라제3동
C0616,덕포제1동
C0617,덕포제2동
C0618,괘법동
C0619,감전동
C0620,주례제1동
C0621,주례제2동
C0622,주례제3동
C0623,학장동
C0624,엄궁동
C0625,기장읍
C0626,장안읍
C0627,일광면
C0628,정관읍
C0629,철마면
C0630,동인동
C0631,삼덕동
C0632,성내1동
C0633,성내2동
C0634,성내3동
C0635,대신동
C0636,남산1동
C0637,남산2동
C0638,남산3동
C0639,남산4동
C0640,대봉1동
C0641,대봉2동
C0642,신암1동
C0643,신암2동
C0644,신암3동
C0645,신암4동
C0646,신암5동
C0647,신천1.2동
C0648,신천3동
C0649,신천4동
C0650,효목1동
C0651,효목2동
C0652,도평동
C0653,불로.봉무동
C0654,지저동
C0655,동촌동
C0656,방촌동
C0657,해안동
C0658,안심1동
C0659,안심2동
C0660,안심3.4동
C0661,공산동
C0662,내당1동
C0663,내당2.3동
C0664,내당4동
C0665,비산1동
C0666,비산2.3동
C0667,비산4동
C0668,비산5동
C0669,비산6동
C0670,비산7동
C0671,평리1동
C0672,평리2동
C0673,평리3동
C0674,평리4동
C0675,평리5동
C0676,평리6동
C0677,상중이동
C0678,원대동
C0679,이천동
C0680,봉덕1동
C0681,봉덕2동
C0682,봉덕3동
C0683,대명1동
C0684,대명2동
C0685,대명3동
C0686,대명4동
C0687,대명5동
C0688,대명6동
C0689,대명9동
C0690,대명10동
C0691,대명11동
C0692,고성동
C0693,칠성동
C0694,침산1동
C0695,침산2동
C0696,침산3동
C0697,산격1동
C0698,산격2동
C0699,산격3동
C0700,산격4동
C0701,대현동
C0702,복현1동
C0703,복현2동
C0704,검단동
C0705,무태조야동
C0706,관문동
C0707,태전1동
C0708,태전2동
C0709,구암동
C0710,관음동
C0711,읍내동
C0712,동천동
C0713,노원동
C0714,국우동
C0715,범어1동
C0716,범어2동
C0717,범어3동
C0718,범어4동
C0719,만촌1동
C0720,만촌2동
C0721,만촌3동
C0722,수성1가동
C0723,수성2.3가동
C0724,수성4가동
C0725,황금1동
C0726,황금2동
C0727,중동
C0728,상동
C0729,파동
C0730,두산동
C0731,지산1동
C0732,지산2동
C0733,범물1동
C0734,범물2동
C0735,고산1동
C0736,고산2동
C0737,고산3동
C0738,성당동
C0739,두류1.2동
C0740,두류3동
C0741,감삼동
C0742,죽전동
C0743,장기동
C0744,용산1동
C0745,용산2동
C0746,이곡1동
C0747,이곡2동
C0748,신당동
C0749,본리동
C0750,월성1동
C0751,월성2동
C0752,진천동
C0753,상인1동
C0754,상인2동
C0755,상인3동
C0756,도원동
C0757,송현1동
C0758,송현2동
C0759,본동
C0760,화원읍
C0761,논공읍
C0762,다사읍
C0763,가창면
C0764,하빈면
C0765,옥포면
C0766,현풍면
C0767,유가면
C0768,구지면
C0769,연안동
C0770,신포동
C0771,신흥동
C0772,도원동
C0773,율목동
C0774,동인천동
C0775,북성동
C0776,송월동
C0777,영종동
C0778,운서동
C0779,용유동
C0780,만석동
C0781,화수1.화평동
C0782,화수2동
C0783,송현1.2동
C0784,송현3동
C0785,송림1동
C0786,송림2동
C0787,송림3.5동
C0788,송림4동
C0789,송림6동
C0790,금창동
C0791,숭의2동
C0792,숭의1
C0793,3동
C0794,숭의4동
C0795,용현1
C0796,4동
C0797,용현2동
C0798,용현3동
C0799,용현5동
C0800,학익1동
C0801,학익2동
C0802,도화1동
C0803,도화2
C0804,3동
C0805,주안1동
C0806,주안2동
C0807,주안3동
C0808,주안4동
C0809,주안5동
C0810,주안6동
C0811,주안7동
C0812,주안8동
C0813,관교동
C0814,문학동
C0815,옥련1동
C0816,옥련2동
C0817,선학동
C0818,연수1동
C0819,연수2동
C0820,연수3동
C0821,청학동
C0822,동춘1동
C0823,동춘2동
C0824,동춘3동
C0825,송도1동
C0826,송도2동
C0827,송도3동
C0828,구월1동
C0829,구월2동
C0830,구월3동
C0831,구월4동
C0832,간석1동
C0833,간석2동
C0834,간석3동
C0835,간석4동
C0836,만수1동
C0837,만수2동
C0838,만수3동
C0839,만수4동
C0840,만수5동
C0841,만수6동
C0842,장수서창동
C0843,남촌도림동
C0844,논현1동
C0845,논현2동
C0846,논현고잔동
C0847,부평1동
C0848,부평2동
C0849,부평3동
C0850,부평4동
C0851,부평5동
C0852,부평6동
C0853,산곡1동
C0854,산곡2동
C0855,산곡3동
C0856,산곡4동
C0857,청천1동
C0858,청천2동
C0859,갈산1동
C0860,갈산2동
C0861,삼산1동
C0862,삼산2동
C0863,부개1동
C0864,부개2동
C0865,부개3동
C0866,일신동
C0867,십정1동
C0868,십정2동
C0869,효성1동
C0870,효성2동
C0871,계산1동
C0872,계산2동
C0873,계산3동
C0874,계산4동
C0875,작전1동
C0876,작전2동
C0877,작전서운동
C0878,계양1동
C0879,계양2동
C0880,계양3동
C0881,검암경서동
C0882,연희동
C0883,청라1동
C0884,청라2동
C0885,청라3동
C0886,가정1동
C0887,가정2동
C0888,가정3동
C0889,석남1동
C0890,석남2동
C0891,석남3동
C0892,신현원창동
C0893,가좌1동
C0894,가좌2동
C0895,가좌3동
C0896,가좌4동
C0897,검단1동
C0898,검단2동
C0899,검단3동
C0900,검단4동
C0901,검단5동
C0902,강화읍
C0903,선원면
C0904,불은면
C0905,길상면
C0906,화도면
C0907,양도면
C0908,내가면
C0909,하점면
C0910,양사면
C0911,송해면
C0912,교동면
C0913,삼산면
C0914,서도면
C0915,북도면
C0916,백령면
C0917,대청면
C0918,덕적면
C0919,영흥면
C0920,자월면
C0921,연평면
C0922,충장동
C0923,동명동
C0924,계림1동
C0925,계림2동
C0926,산수1동
C0927,산수2동
C0928,지산1동
C0929,지산2동
C0930,서남동
C0931,학동
C0932,학운동
C0933,지원1동
C0934,지원2동
C0935,양동
C0936,양3동
C0937,농성1동
C0938,농성2동
C0939,광천동
C0940,유덕동
C0941,치평동
C0942,상무1동
C0943,상무2동
C0944,화정1동
C0945,화정2동
C0946,화정3동
C0947,화정4동
C0948,서창동
C0949,금호1동
C0950,금호2동
C0951,풍암동
C0952,동천동
C0953,양림동
C0954,방림1동
C0955,방림2동
C0956,봉선1동
C0957,봉선2동
C0958,사직동
C0959,월산동
C0960,월산4동
C0961,월산5동
C0962,백운1동
C0963,백운2동
C0964,주월1동
C0965,주월2동
C0966,효덕동
C0967,송암동
C0968,대촌동
C0969,중흥1동
C0970,중흥2동
C0971,중흥3동
C0972,중앙동
C0973,임동
C0974,신안동
C0975,용봉동
C0976,운암1동
C0977,운암2동
C0978,운암3동
C0979,동림동
C0980,우산동
C0981,풍향동
C0982,문화동
C0983,문흥1동
C0984,문흥2동
C0985,두암1동
C0986,두암2동
C0987,두암3동
C0988,삼각동
C0989,일곡동
C0990,매곡동
C0991,오치1동
C0992,오치2동
C0993,석곡동
C0994,건국동
C0995,양산동
C0996,송정1동
C0997,송정2동
C0998,도산동
C0999,신흥동
C1000,어룡동
C1001,우산동
C1002,월곡1동
C1003,월곡2동
C1004,비아동
C1005,첨단1동
C1006,첨단2동
C1007,신가동
C1008,운남동
C1009,수완동
C1010,하남동
C1011,임곡동
C1012,동곡동
C1013,평동
C1014,삼도동
C1015,본량동
C1016,신창동
C1017,중앙동
C1018,효동
C1019,신인동
C1020,판암1동
C1021,판암2동
C1022,용운동
C1023,대동
C1024,자양동
C1025,가양1동
C1026,가양2동
C1027,용전동
C1028,성남동
C1029,홍도동
C1030,삼성동
C1031,대청동
C1032,산내동
C1033,은행선화동
C1034,목동
C1035,중촌동
C1036,대흥동
C1037,문창동
C1038,석교동
C1039,대사동
C1040,부사동
C1041,용두동
C1042,오류동
C1043,태평1동
C1044,태평2동
C1045,유천1동
C1046,유천2동
C1047,문화1동
C1048,문화2동
C1049,산성동
C1050,복수동
C1051,도마1동
C1052,도마2동
C1053,정림동
C1054,변동
C1055,용문동
C1056,탄방동
C1057,괴정동
C1058,가장동
C1059,내동
C1060,갈마1동
C1061,갈마2동
C1062,월평1동
C1063,월평2동
C1064,월평3동
C1065,가수원동
C1066,관저1동
C1067,관저2동
C1068,기성동
C1069,둔산1동
C1070,둔산2동
C1071,만년동
C1072,둔산3동
C1073,진잠동
C1074,온천1동
C1075,온천2동
C1076,노은1동
C1077,노은2동
C1078,노은3동
C1079,신성동
C1080,전민동
C1081,구즉동
C1082,관평동
C1083,원신흥동
C1084,오정동
C1085,대화동
C1086,회덕동
C1087,비래동
C1088,송촌동
C1089,중리동
C1090,신탄진동
C1091,석봉동
C1092,덕암동
C1093,목상동
C1094,법1동
C1095,법2동
C1096,학성동
C1097,반구1동
C1098,반구2동
C1099,복산1동
C1100,복산2동
C1101,중앙동
C1102,우정동
C1103,태화동
C1104,다운동
C1105,병영1동
C1106,병영2동
C1107,약사동
C1108,성안동
C1109,신정1동
C1110,신정2동
C1111,신정3동
C1112,신정4동
C1113,신정5동
C1114,달동
C1115,삼산동
C1116,삼호동
C1117,무거동
C1118,옥동
C1119,대현동
C1120,수암동
C1121,선암동
C1122,야음장생포동
C1123,방어동
C1124,일산동
C1125,화정동
C1126,대송동
C1127,전하1동
C1128,전하2동
C1129,남목1동
C1130,남목2동
C1131,남목3동
C1132,농소1동
C1133,농소2동
C1134,농소3동
C1135,강동동
C1136,효문동
C1137,송정동
C1138,양정동
C1139,염포동
C1140,온산읍
C1141,언양읍
C1142,온양읍
C1143,범서읍
C1144,서생면
C1145,청량면
C1146,웅촌면
C1147,두동면
C1148,두서면
C1149,상북면
C1150,삼남면
C1151,삼동면
C1152,조치원읍
C1153,연기면
C1154,연동면
C1155,부강면
C1156,금남면
C1157,장군면
C1158,연서면
C1159,전의면
C1160,전동면
C1161,소정면
C1162,한솔동
C1163,도담동
C1164,아름동
C1165,종촌동
C1166,고운동
C1167,보람동
C1168,파장동
C1169,율천동
C1170,정자1동
C1171,정자2동
C1172,정자3동
C1173,영화동
C1174,송죽동
C1175,조원1동
C1176,조원2동
C1177,연무동
C1178,세류1동
C1179,세류2동
C1180,세류3동
C1181,평동
C1182,서둔동
C1183,구운동
C1184,금곡동
C1185,호매실동
C1186,권선1동
C1187,권선2동
C1188,곡선동
C1189,입북동
C1190,매교동
C1191,매산동
C1192,고등동
C1193,화서1동
C1194,화서2동
C1195,지동
C1196,우만1동
C1197,우만2동
C1198,인계동
C1199,행궁동
C1200,매탄1동
C1201,매탄2동
C1202,매탄3동
C1203,매탄4동
C1204,원천동
C1205,영통1동
C1206,영통2동
C1207,태장동
C1208,광교1동
C1209,광교2동
C1210,신흥1동
C1211,신흥2동
C1212,신흥3동
C1213,태평1동
C1214,태평2동
C1215,태평3동
C1216,태평4동
C1217,수진1동
C1218,수진2동
C1219,단대동
C1220,산성동
C1221,양지동
C1222,복정동
C1223,위례동
C1224,신촌동
C1225,고등동
C1226,시흥동
C1227,성남동
C1228,중앙동
C1229,금광1동
C1230,금광2동
C1231,은행1동
C1232,은행2동
C1233,상대원1동
C1234,상대원2동
C1235,상대원3동
C1236,하대원동
C1237,도촌동
C1238,분당동
C1239,수내1동
C1240,수내2동
C1241,수내3동
C1242,정자동
C1243,정자1동
C1244,정자2동
C1245,정자3동
C1246,서현1동
C1247,서현2동
C1248,이매1동
C1249,이매2동
C1250,야탑1동
C1251,야탑2동
C1252,야탑3동
C1253,판교동
C1254,삼평동
C1255,백현동
C1256,금곡동
C1257,구미1동
C1258,구미동
C1259,운중동
C1260,의정부1동
C1261,의정부2동
C1262,의정부3동
C1263,호원1동
C1264,호원2동
C1265,장암동
C1266,신곡1동
C1267,신곡2동
C1268,송산1동
C1269,송산2동
C1270,자금동
C1271,가능1동
C1272,흥선동
C1273,녹양동
C1274,안양1동
C1275,안양2동
C1276,안양3동
C1277,안양4동
C1278,안양5동
C1279,안양6동
C1280,안양7동
C1281,안양8동
C1282,안양9동
C1283,석수1동
C1284,석수2동
C1285,석수3동
C1286,박달1동
C1287,박달2동
C1288,비산1동
C1289,비산2동
C1290,비산3동
C1291,부흥동
C1292,달안동
C1293,관양1동
C1294,관양2동
C1295,부림동
C1296,평촌동
C1297,평안동
C1298,귀인동
C1299,호계1동
C1300,호계2동
C1301,호계3동
C1302,범계동
C1303,신촌동
C1304,갈산동
C1305,심곡1동
C1306,심곡2동
C1307,심곡3동
C1308,원미1동
C1309,원미2동
C1310,소사동
C1311,역곡1동
C1312,역곡2동
C1313,춘의동
C1314,도당동
C1315,약대동
C1316,중동
C1317,중1동
C1318,중2동
C1319,중3동
C1320,중4동
