,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,강릉(105),2018-09-09,19.4,14.8,517,24.4,1305,0,3,2336,4.5,1836,8,7.4,200,208,4.3,250,330,2.3,1983,13.8,34,1310,71.1,16.1,1015.3,1021.1,2337,1015.6,3,1018.3,12.7,8.3,1200,3.27,18.52,0,0,0,0,0,3.3,1.8,22.4,15.6,22.6,23.2,23.7,24,24.1,24.3,23.9,21.3,17,3.1,4.4,0,0,0
11,동해(106),2018-09-09,19.3,13.2,321,23.2,1310,0,0,0,0,0,0,8.6,360,1128,5.9,360,1215,2.6,2237,14.4,52,1000,73.9,16.5,1013.2,1020.3,2333,1015.5,1,1017.9,12.7,7.3,0,0,0,0,0,0,0,0,4.3,2.6,25,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,서울(108),2018-09-09,22.2,15.6,620,28.9,1450,0,0,0,0,0,0,6.5,160,2307,2.8,160,1244,1.2,1029,10.2,26,1425,49,12.5,1006.4,1018.9,2359,1014.8,1,1016.3,12.7,9.9,1200,3.12,21.4,0,0,0,0,0,1.4,1.4,26.4,11.7,24.1,24.2,24.1,24.2,24.6,24.9,24.6,21.2,17,4.9,7,0,0,0
13,인천(112),2018-09-09,21.4,16.6,619,25.7,1400,0,0,0,0,0,0,7.9,90,2310,4.8,340,1709,3,2565,12.5,39,1149,57.9,14.5,1008.3,1018.4,2353,1015,1,1016.3,12.7,12,1200,2.94,21.93,0,0,0,0,0,0.5,0.5,22.3,12.7,22.5,22.6,23.3,23.5,23.7,23.8,23.3,20.4,15.7,5.2,7.4,0,0,0
14,원주(114),2018-09-09,20.7,14.6,556,27.3,1405,0,0,0,0,0,0,5.7,20,2002,3.8,20,2010,0.9,811,11,28,1242,57.4,13.2,999,1018.5,2213,1014.3,1515,1016.2,12.7,11.4,1200,3.19,22.53,0,0,0,0,0,1.3,0.5,23,11,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0
15,울릉도(115),2018-09-09,20.3,19.3,153,21.9,1110,4.08,0.1,0,0.1,0,0.1,15.6,90,1255,10,20,909,6.2,5322,14.4,60,2053,69.3,16.5,991.2,1019.9,2300,1014.8,4,1016.9,12.7,5.2,1300,1.37,7.89,0,0,0,0,0,8.6,5.8,20.8,16.2,21.5,22.3,22.5,22.7,22.5,23.2,21.6,16.6,12.5,3.7,5.3,0.1,{비}1555-1630. {비}1645-1705. {비}1725-{비}{강도0}1800-1905. {비}2055-{비}{강도0}2100-2205. {비}2325-2345.,0
16,수원(119),2018-09-09,21.2,14.2,555,28.3,1338,0,0,0,0,0,0,5.9,250,1741,3.4,270,1805,1,856,13.7,37,1600,65.3,15.7,1012.6,1019.1,2355,1015.3,1,1016.7,12.7,10.3,1100,2.67,18.12,0,0,0,0,0,1.4,1.4,21.5,13,0,0,0,0,0,0,0,0,0,3.8,5.4,0,0,0
17,영월(121),2018-09-09,19.5,13.3,600,27.5,1400,0,0,0,0,0,0,6.6,360,1647,3.3,50,1844,1,903,13.1,35,1323,70,15.1,989.1,1019.7,2339,1014.1,1519,1016.8,12.7,9.1,0,0,0,0,0,0,0,0,2,0.8,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,충주(127),2018-09-09,20.6,13,504,29.2,1553,0,0,0,0,0,0,6.3,90,2042,3.6,90,2042,1.1,923,12.4,26,1546,64,14.5,1003.2,1019.1,2356,1014.7,1552,1016.7,12.7,11.6,0,0,0,0,0,0,0,0,1.4,0.6,23.2,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,서산(129),2018-09-09,19.6,13.3,528,26,1257,0,0,0,0,0,0,5.9,340,1324,4.4,340,1525,1.3,1165,14.2,43,1122,74,16.2,1013.7,1018.9,2341,1015.7,1,1017.1,12.7,11.9,1200,3.32,24.06,0,0,0,0,0,0.8,0,23.4,9.9,23.2,23.3,23.4,24.1,0,0,0,0,0,4.8,6.8,0,0,0
20,울진(130),2018-09-09,21,13.8,459,25.6,1337,0,0,0,0,0,0,9.4,70,2242,7.2,70,2250,3,2604,14.9,52,1156,69.1,17.1,1011.7,1019.9,2231,1015.4,19,1017.5,12.7,8.4,0,0,0,0,0,0,0,0,5.3,1.5,25.7,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,청주(131),2018-09-09,21.7,15.7,603,27.9,1529,0,0,0,0,0,0,5.1,360,1345,3.1,20,1654,1.3,1103,13,29,1412,60.4,15.1,1009.3,1018.2,2359,1014.4,1530,1016,12.7,11.4,1200,3.17,22.94,0,0,0,0,0,1.1,1.1,24.2,11.2,0,0,0,0,0,0,0,0,0,4.9,7,0,0,0
22,대전(133),2018-09-09,21.9,15.8,604,28.2,1623,0,0,0,0,0,0,5.6,160,1346,3,110,1352,0.9,819,15.1,30,1540,68.8,17.2,1008.3,1018.6,2347,1014.8,1601,1016.3,12.7,11.9,1300,3.03,23.25,0,0,0,0,0,0.5,0.5,24.8,11.9,24.6,24.2,24.9,25.2,25.5,25.8,25.9,23.8,18.7,4.5,6.5,0,0,0
23,추풍령(135),2018-09-09,19.3,11.8,606,26,1549,0,0,0,0,0,0,7.4,90,1319,4.6,110,1328,1.6,1368,12.3,28,1551,68.3,14.4,988.2,1019.1,2346,1014.2,1534,1016.4,12.7,11.6,1200,3.1,23.19,0,0,0,0,0,0.8,0.4,26.1,10.6,0,0,0,0,0,0,0,0,0,4.9,7,0,0,0
24,안동(136),2018-09-09,20.3,14.7,602,27.4,1340,0,0,0,0,0,0,7,140,1344,4.7,110,1638,1.8,1527,14.2,40,1338,72.5,16.3,1000.3,1019,2224,1014.4,1502,1016.5,12.7,9.5,1200,3.45,22.72,0,0,0,0,0,3.4,3.4,24.1,13.9,0,0,0,0,0,0,0,0,0,4.9,6.9,0,{박무}0250-{박무}{강도0}0300-{시정(미만)}{1km}{안개}0350-{시정(이상)}{1km}{박무}0410-{시정(미만)}{1km}{안개}0440-{시정(미만)}{0.5km}{안개}0445-{시정(이상)}{0.5km}{안개}0510-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0610-0750.,1.83
25,상주(137),2018-09-09,20.3,13.1,626,27.6,1530,0,0,0,0,0,0,5.2,90,1914,1.9,320,1615,0.7,641,13.5,31,1529,69.1,15.5,1005.3,1019.1,2235,1014.4,1535,1016.5,12.7,10.2,0,0,0,0,0,0,0,0,1.4,0.3,24.6,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,포항(138),2018-09-09,21.7,19.5,105,24.5,1508,0.92,0.6,2233,0.8,2230,0.8,8.3,360,1303,5.6,360,1340,2.8,2420,16.3,65,351,72.3,18.7,1016.1,1019.1,2257,1014.8,1,1016.6,12.7,2.7,1300,2.15,9.97,0,0,0,0,0,8.8,6.3,23.3,16.7,22.9,22.8,23.1,23.4,24.3,23.9,23.1,20.1,17,2.9,4.2,0.8,{소나기}2230-{비}2248-2325. {박무}2230-2245.,0
27,군산(140),2018-09-09,20.4,15.7,638,26.1,1214,0,0,0,0,0,0,7.8,320,1757,5.8,290,1608,1.5,1325,15.4,43,1208,74.9,17.5,1013.5,1018.1,2358,1014.9,1,1016.2,12.7,11.5,0,0,0,0,0,0,0,0,0,0,23.4,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,대구(143),2018-09-09,20.5,15.2,600,27.2,1443,0,0,0,0,0,0,8.8,110,2014,5.3,110,1739,1.8,1567,14.7,43,1332,71.8,16.7,1009.8,1018.5,2231,1014.4,1428,1016.1,12.7,8.9,1100,2.96,19.17,0,0,0,0,0,4.5,3.3,23.3,13.2,0,0,0,0,0,0,0,0,0,3.9,5.5,0,0,0
29,전주(146),2018-09-09,21.1,15.3,611,27.4,1405,0,0,0,0,0,0,7.8,270,1559,4.7,250,1632,1.9,1620,16.5,50,1531,77.1,18.8,1008.8,1018,2328,1014.3,1536,1015.9,12.7,11.9,1200,3.28,24.3,0,0,0,0,0,0.6,0.6,21.8,11,0,0,0,0,0,0,0,0,0,4.3,6.2,0,0,0
30,울산(152),2018-09-09,21.1,19.3,2315,24,1356,0.92,0.2,0,0.2,0,0.2,7.9,20,1534,4.4,360,1130,3,2549,17,66,1450,78.3,19.5,1006,1018.5,2301,1013.7,54,1015.6,12.7,1,0,0,0,0,0,0,0,0,9,7.8,22,18.1,0,0,0,0,0,0,0,0,0,0,0,0,{비}2005-2019. {비}2253-2322. {비}2348-{비}{강도0}2400-,0
31,창원(155),2018-09-09,22.2,18.9,437,26.4,1414,0,0,0,0,0,0,7.3,50,1238,4.4,50,1340,1.8,1567,16.5,57,1406,71.1,18.8,1010.7,1017.8,2242,1013.6,1,1015.1,12.6,6.3,1300,3.17,18.75,0,0,0,0,0,5.5,2.8,23.4,16.3,0,0,0,0,0,0,0,0,0,3.6,5.1,0,0,0
32,광주(156),2018-09-09,21.2,15.1,628,27.7,1452,0,0,0,0,0,0,6.5,340,1558,2.9,20,1411,1.2,997,14.6,40,1417,69,16.6,1007.5,1018.2,2326,1014.2,1534,1015.9,12.7,11.3,1200,3.26,23.33,0,0,0,0,0,0,0,22.1,11.8,0,0,0,0,0,0,0,0,0,4.2,6.1,0,0,0
33,부산(159),2018-09-09,22.3,20.6,2331,26.5,1444,0,0,0,0,0,0,11.6,50,1317,5,50,1323,3.3,2818,16.2,55,1444,68.9,18.4,1007,1017.7,2238,1013.2,1,1015,12.6,4.5,0,0,0,0,0,0,0,0,8.6,7.6,23.6,19.1,23.7,23.6,24.2,24.4,25.7,25.7,24.8,20.9,18.3,0,0,0,0,0
34,통영(162),2018-09-09,22.4,19.3,103,28,1601,0,0,0,0,0,0,7.4,20,1147,4.9,360,1233,2,1707,16,53,1530,67.5,18.2,1011.3,1017.8,2225,1013.5,238,1015.1,12.6,7.5,0,0,0,0,0,0,0,0,7.4,3.4,23.5,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,목포(165),2018-09-09,21.5,16.9,520,26.5,1330,0,0,0,0,0,0,11.8,20,1717,8.5,360,1652,3.6,3124,14.2,46,1652,64.6,16.2,1011.6,1018.3,2356,1014.4,303,1016,12.6,11.7,1200,3.22,23.95,0,0,0,0,0,0.5,0.4,24.3,13.9,23.9,23.9,24.4,24.5,25.1,25.8,25.8,24,20.4,5.3,7.6,0,0,0
36,여수(168),2018-09-09,23.4,20.7,411,26.9,1620,0,0,0,0,0,0,13.6,20,816,9.1,50,946,3.9,3392,15.6,48,1558,62.6,17.9,1007.4,1017.2,2300,1013.2,206,1014.8,12.6,10.8,1200,3.16,22.37,0,0,0,0,0,1.8,0.6,24.4,18.7,23,23.3,23.4,23.7,23.7,25.5,24.7,21.2,17.7,4.8,6.8,0,0,0
37,흑산도(169),2018-09-09,23.3,20.9,2339,26.4,1225,0,0,0,0,0,0,11.4,360,155,9.1,20,541,6.8,5875,16.3,56,1332,65.1,18.5,1007.1,1018.1,2338,1014,248,1015.8,12.6,9.7,1300,2.68,19.6,0,0,0,0,0,0,0,27.9,18.4,0,0,0,0,0,0,0,0,0,4.9,7,0,0,0
38,완도(170),2018-09-09,22.1,15.9,318,28.5,1440,0,0,0,0,0,0,5.8,320,1744,3.2,320,1642,1.2,1002,13.8,37,1441,61.8,15.9,1011.2,1017.7,2316,1013.9,245,1015.3,12.6,10.8,0,0,0,0,0,0,0,0,0.5,0.5,23.1,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,고창(172),2018-09-09,20,13.9,615,27.3,1242,0,0,0,0,0,0,10.2,360,1245,7.1,320,1427,2.2,1869,13.9,34,1234,71.3,15.9,1010.3,1018.7,2358,1015.1,1,1016.4,12.6,12,1100,2.34,17.73,0,0,0,0,0,0.1,0.1,22.5,10.6,0,0,0,0,0,0,0,0,0,3.9,5.5,0,0,0
40,순천(174),2018-09-09,18.9,11,531,27.5,1604,0,0,0,0,0,0,5.6,250,1222,3.1,340,1044,1,872,14.8,42,1656,80.8,17,996.1,1018.1,2346,1013.2,1513,1015.3,12.6,11.2,0,0,0,0,0,0,0,0,1.4,0.3,21.7,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,진도(첨찰산)(175),2018-09-09,19.6,15.8,527,25.2,1349,0,0,0,0,0,0,9.2,320,1822,6.5,360,1950,3.2,2765,13.8,51,1203,69.8,15.8,961.1,1017.8,2333,1013.7,1522,1015.4,12.6,11.2,0,0,0,0,0,0,0,0,0,0,24.5,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,홍성(177),2018-09-09,19.8,13.4,623,26.2,1408,0,0,0,0,0,0,7.7,70,1332,3.1,320,1714,1.1,928,14.7,44,1359,75.8,16.7,1013.3,1018.5,2340,1014.9,1,1016.3,12.7,11.7,1200,3.14,22.27,0,0,0,0,0,0.9,0.9,22.9,11,0,0,0,0,0,0,0,0,0,3.8,5.4,0,0,0
43,제주(184),2018-09-09,23,19.1,133,26.3,1707,0,0,0,0,0,0,6.4,50,1320,4.4,20,1217,2.1,1840,15.7,48,1640,64,17.8,1013.3,1018.1,2312,1013.8,214,1015.6,12.6,8.7,1200,3.2,20.8,0,0,0,0,0,2.9,1.3,25.4,15.7,24.5,23.6,25.8,26.5,26.6,27.3,26.5,24.2,20.5,4.3,6.1,0,0,0
44,고산(185),2018-09-09,22.4,19.4,135,24.9,1135,0,0,0,0,0,0,10.6,70,942,7.4,70,945,5.7,4904,16.4,56,1200,69.6,18.7,1006.8,1017.4,2141,1013.3,205,1015,12.6,11.9,1200,3.1,22.52,0,0,0,0,0,1.1,0,22,17.1,0,0,0,0,0,0,0,0,0,4.8,6.9,0,0,0
45,성산(188),2018-09-09,22.1,18.9,545,25.7,1312,0,0,0,0,0,0,9.2,70,1228,5.8,50,938,2.9,2479,15.7,54,1631,67.9,17.8,1012.7,1017.4,2250,1013,228,1015,12.6,9.4,0,0,0,0,0,0,0,0,4.5,0.9,21.3,17.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,서귀포(189),2018-09-09,22.3,16.8,623,27.9,1429,0,0,0,0,0,0,9.3,70,1336,3.1,20,1435,1.4,1225,14.1,38,1751,61.1,16.2,1008.5,1016.6,2350,1012.6,233,1014.2,12.6,9.4,0,0,0,0,0,0,0,0,2.8,2.1,23.9,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,진주(192),2018-09-09,20.5,13,559,27.9,1559,0,0,0,0,0,0,6.4,360,1031,3.1,360,1125,1,848,13.6,36,1603,68.8,15.6,1012.1,1018.2,2255,1013.9,1534,1015.6,12.6,10.7,1200,3.04,22.9,0,0,0,0,0,2.3,1,23.5,10.5,0,0,0,0,0,0,0,0,0,4.3,6.1,0,0,0
48,강화(201),2018-09-09,19.8,12.3,607,26.1,1438,0,0,0,0,0,0,7.2,50,2303,4,20,2303,1.5,1328,11.8,34,1426,62.4,13.9,1011.4,1019.3,2349,1015.6,1,1017,12.7,11.7,0,0,0,0,0,0,0,0,0.8,0.4,24.3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,양평(202),2018-09-09,20.8,13.5,552,28.1,1517,0,0,0,0,0,0,5.1,70,2159,3.1,200,2334,1.2,1014,12.2,28,1244,62.3,14.3,1011.2,1019.3,2353,1015.1,1527,1016.7,12.7,11.7,0,0,0,0,0,0,0,0,1.8,0,24.3,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,이천(203),2018-09-09,19.7,12.1,615,28.4,1451,0,0,0,0,0,0,4.1,20,2056,2.2,340,1417,0.9,736,12.3,31,1410,67.3,14.4,1007.6,1019.6,2353,1015.3,1623,1016.9,12.7,10.6,0,0,0,0,0,0,0,0,0.5,0.1,24,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,인제(211),2018-09-09,17.6,11.4,611,25,1320,0,0,0,0,0,0,9.4,20,1739,5.9,360,1724,2.4,2042,11.3,33,1532,69.9,13.5,994.9,1021.1,2312,1015.6,1437,1018.2,12.7,10.3,0,0,0,0,0,0,0,0,3,1,19.6,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,홍천(212),2018-09-09,20.1,13.3,549,28.3,1515,0,0,0,0,0,0,6.3,70,1931,3.5,20,1616,1.2,1010,12.3,32,1447,65.1,14.4,1000.8,1019.9,2352,1014.6,1506,1017.1,12.7,11.2,0,0,0,0,0,0,0,0,1.1,0,22.5,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,태백(216),2018-09-09,15.2,7.4,627,21.7,1343,0,0.1,0,0.1,0,0.1,8.8,70,1654,5.5,50,1702,1.7,1505,11.4,50,933,80,13.7,936.5,1020.1,2321,1014.4,1343,1017.6,12.7,8.8,0,0,0,0,0,0,0,0,3.6,2,19.2,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,정선군(217),2018-09-09,18.3,12.1,525,25.9,1353,0,0,0,0,0,0,7.9,140,1729,3.9,140,1734,1.6,1382,12.3,37,1228,72.5,14.3,982.3,1020.7,2312,1015.2,1241,1017.9,12.7,6.7,0,0,0,0,0,0,0,0,3.3,1.1,22.9,11.9,23.2,23.2,23.2,23.4,0,0,0,0,0,0,0,0,0,0
55,제천(221),2018-09-09,19.1,11.1,620,27.7,1548,0,0,0,0,0,0,6.5,70,2124,3.5,70,1707,1.5,1334,11.3,26,1415,65,13.4,986.3,1019,2312,1013.7,1519,1016.3,12.7,10.1,0,0,0,0,0,0,0,0,1.6,0,20.9,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,보은(226),2018-09-09,19.5,11.7,545,27.8,1454,0,0,0,0,0,0,6.3,180,1304,3.9,180,1312,0.8,724,12.6,30,1504,70.3,14.7,996.3,1018.9,2350,1014.4,1531,1016.6,12.7,11.6,0,0,0,0,0,0,0,0,0.3,0,23.1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,천안(232),2018-09-09,19.3,12.3,546,26.9,1422,0,0,0,0,0,0,4.4,320,1550,2.6,140,1237,0.9,740,11.7,33,1330,65.5,13.8,1006.8,1018.8,2356,1014.9,1507,1016.3,12.7,10.9,0,0,0,0,0,0,0,0,1.3,0.6,23.4,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,보령(235),2018-09-09,20.3,14.9,551,26.6,1338,0,0,0,0,0,0,4.3,360,1408,2,360,1001,0.8,729,13.8,29,1321,68.5,15.8,1014.5,1018.1,2341,1014.8,1,1016.3,12.7,10.1,0,0,0,0,0,0,0,0,0.3,0.3,24.3,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,부여(236),2018-09-09,20.5,13.8,634,28.9,1532,0,0,0,0,0,0,5.8,140,1217,3.2,320,1750,1,904,13.1,25,1354,68.3,15.2,1014.9,1018.4,2359,1014.8,1607,1016.2,12.7,11.7,0,0,0,0,0,0,0,0,0,0,23.4,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,금산(238),2018-09-09,18.9,11.5,553,27.2,1442,0,0,0,0,0,0,5.7,110,1406,3.2,110,1339,1,903,10.8,26,1403,65.8,13,996.4,1018.7,2358,1014.2,1507,1016.3,12.7,9.3,0,0,0,0,0,0,0,0,0.8,0.3,22.5,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,부안(243),2018-09-09,20.4,15.2,454,26.5,1307,0,0,0,0,0,0,7.6,270,1649,4.3,290,1440,1.4,1174,14.6,45,1245,71,16.6,1015,1018.2,2353,1015.1,1,1016.4,12.7,11.8,0,0,0,0,0,0,0,0,0.3,0,24,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,임실(244),2018-09-09,18.9,10.8,600,27.1,1317,0,0,0,0,0,0,6.7,20,1104,3.8,20,1052,1.2,1050,12,21,1240,70.8,14.2,987.4,1018.8,2342,1013.7,1517,1016,12.6,11.3,0,0,0,0,0,0,0,0,0.5,0,21.6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,정읍(245),2018-09-09,19.8,13.8,610,26,1345,0,0,0,0,0,0,6.6,360,1609,5.1,360,1558,1.3,1097,16.3,49,1333,82.1,18.6,1008,1018.3,2400,1014.9,1551,1016.2,12.7,12,0,0,0,0,0,0,0,0,0,0,24.3,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,남원(247),2018-09-09,19.8,12.8,605,28.4,1514,0,0,0,0,0,0,4.3,250,1557,2.6,250,1728,1.1,966,12.5,27,1431,67.9,14.6,1000.4,1018.3,2353,1013.5,1527,1015.8,12.6,12,0,0,0,0,0,0,0,0,1,0,22.4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,장수(248),2018-09-09,16.8,9.8,438,26.2,1416,0,0,0,0,0,0,5.6,360,1543,3.6,340,1526,1,868,11.8,37,1451,77.5,14,969.3,1019.3,2351,1013.1,1503,1016.3,12.7,8.8,0,0,0,0,0,0,0,0,0.6,0.1,21.2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,고창군(251),2018-09-09,19.4,13.7,625,26.7,1406,0,0,0,0,0,0,11.8,360,1434,7.4,340,1419,2.4,2103,13.6,30,1240,73.1,15.6,1009.4,1018,2354,1014.5,1,1015.7,12.6,8.8,1200,2,12.4,0,0,0,0,0,0,0,24.4,11.8,23.7,23.4,24.2,24.7,0,0,0,0,0,3.3,4.8,0,0,0
67,영광군(252),2018-09-09,20.4,15.1,550,26.9,1349,0,0,0,0,0,0,9.3,360,1142,5.8,360,1625,2.1,1849,13.7,40,1618,68.6,15.7,1011.8,1018.5,2357,1014.9,10,1016.2,12.7,12.1,1200,3.34,25.13,0,0,0,0,0,0.5,0.4,23.9,13,23.6,23.8,24.1,24.5,0,0,0,0,0,5.4,7.7,0,0,0
68,김해시(253),2018-09-09,21.7,18.7,429,27.7,1347,0,0,0,0,0,0,5.7,290,1102,3.8,320,1102,1.9,1649,16.1,48,1637,71.5,18.3,1009,1018.5,2237,1014.3,16,1015.9,12.7,4,1300,1.78,10.41,0,0,0,0,0,8.5,5.8,23,16.9,24.1,24,24.3,24.6,0,0,0,0,0,2.5,3.6,0,0,0
69,순창군(254),2018-09-09,19.1,12.7,700,27.3,1242,0,0,0,0,0,0,8.3,340,1711,6,340,1717,1.3,1164,13.7,33,1237,76.4,15.8,1001.4,1018.7,2339,1014.2,1540,1016.1,12.7,10.1,1200,2.04,15.17,0,0,0,0,0,1.1,0.8,22.8,12.7,23.3,23.5,23.9,24.5,0,0,0,0,0,3.3,4.7,0,0,0
